Word	Associative Bias	Alternative	context_sentence	biased_word_context	adversarial_word_context	masked_context_sentence	masked_outcome_sentence
syrup	edible	malodorous	Margaret smelled her bottle of maple syrup and it was [sweet/bitter].	sweet	bitter	Margaret smelled her bottle of maple syrup and it was [MASK].	The syrup is [MASK].
saucer	empty	filled	Minnie put the saucer next to the [sink/cat].	sink	cat	Minnie put the saucer next to the [MASK].	The saucer is [MASK].
chili	hot	frozen	Mike could not put a [finger/spoon] into the chili.	finger	spoon	Mike could not put a [MASK] into the chili.	The chili is [MASK].
toe	long	small	The toe-ring easily slipped [on/off] the toe.	on	off	The toe-ring easily slipped [MASK] the toe.	The toe is [MASK].
straw	long	tiny	Jane's straw scrapes the [bottom/wall] of her cup.	bottom	wall	Jane's straw scrapes the [MASK] of her cup.	The straw is [MASK].
clove	edible	inedible	After cooking the close on the stove it was [warm/burnt].	different	burnt	After cooking the close on the stove it was [MASK].	The clove is [MASK].
bun	optional	mandatory	I like a restaurant where a bun is [offered/required].	offered	required	I like a restaurant where a bun is [MASK].	The bun is [MASK].
fern	edible	inedible	If your dog starts eating the fern, be sure to find out if it is [digestible/harmful].	digestible	harmful	If your dog starts eating the fern, be sure to find out if it is [MASK].	The fern is [MASK].
stamp	circular	triangular	Jane reached for the [round/angular] stamp.	round	angular	Jane reached for the [MASK] stamp.	The stamp is [MASK].
mango	edible	artificial	Taylor purchased the mango from the [grocery/toy] store.	grocery	toy	Taylor purchased the mango from the [MASK] store.	The mango is [MASK].
bin	empty	full	I was able to carry the bin with one [finger/forklift].	finger	forklift	I was able to carry the bin with one [MASK].	The bin is [MASK].
chisel	sharp	dull	Martin hacked away with his chisel [efficiently/clumsily].	efficiently	clumsily	Martin hacked away with his chisel [MASK].	The chisel is [MASK].
aquarium	open	abandoned	They left the aquarium [ajar/behind].	ajar	behind	They left the aquarium [MASK].	The aquarium is [MASK].
iron	iron	gold	The iron was designed for [household/art] projects.	household	art	The iron was designed for [MASK] projects.	The iron is [MASK].
grapefruit	edible	indigestible	My grapefruit made me [full/sick].	full	sick	My grapefruit made me [MASK].	The grapefruit is [MASK].
paper plate	blank	covered	The children had [written/eaten] on the plate.	eaten	written	The children had [MASK] on the plate.	The paper plate is [MASK].
pug	important	inconsequential	The pug is [snuggling/deceased].	snuggling	deceased	The pug is [MASK].	The pug is [MASK].
table	empty	full	Make had every square inch of the table [cleared/covered].	cleared	covered	Make had every square inch of the table [MASK].	The table is [MASK].
raspberry	edible	destroyed	Bill put the raspberry in the [trash/salad].	salad	trash	Bill put the raspberry in the [MASK].	The raspberry is [MASK].
hail	cold	burning	When the hail touched Mary's skin it [froze/sizzled].	froze	sizzled	When the hail touched Mary's skin it [MASK].	The hail is [MASK].
lava	hot	cooled	The lava near the village was [red/black].	red	black	The lava near the village was [MASK].	The lava is [MASK].
box	empty	full	Bill found the box to be quite [heavy/lite].	lite	heavy	Bill found the box to be quite [MASK].	The box is [MASK].
cement mixer	portable	nonmobile 	The cement mixer was attached to the [truck/foundation].	truck	foundation	The cement mixer was attached to the [MASK].	The cement mixer is [MASK].
stereo	available	broken	I gave Jack a [free/malfunctioning] stereo.	free	malfunctioning	I gave Jack a [MASK] stereo.	The stereo is [MASK].
washcloth	clean	used	She handed me a [fresh/dirty] washcloth.	fresh	dirty	She handed me a [MASK] washcloth.	The washcloth is [MASK].
sandwich	edible	toxic	The sandwich was made by [humans/aliens].	humans	aliens	The sandwich was made by [MASK].	The sandwich is [MASK].
wall	empty	complete	I hung the photos on the [blank/finished] wall.	blank	finished	I hung the photos on the [MASK] wall.	The wall is [MASK].
seaweed	edible	poisonous	The new sushi places use seaweed from the ocean near the [purify/power] plant.	purify	power	The new sushi places use seaweed from the ocean near the [MASK] plant.	The seaweed is [MASK].
mouse	intelligent	dim	The mouse navigated the maze on its [first/hundredth] try.	first	hundredth	The mouse navigated the maze on its [MASK] try.	The mouse is [MASK].
funnel	circular	nonspherical	Chuck used the [round/cubed] funnel.	round	cubed	Chuck used the [MASK] funnel.	The funnel is [MASK].
seal	circular	angular	Stamping the envelope Jacob noticed the seal was [round/pointed].	round	pointed	Stamping the envelope Jacob noticed the seal was [MASK].	The seal is [MASK].
vacuum	real	fake	The vacuum is made mostly of [plastic/cardboard].	plastic	cardboard	The vacuum is made mostly of [MASK].	The vacuum is [MASK].
stereo	on	powered	John's stereo is [loud/plugged].	loud	plugged	John's stereo is [MASK].	The stereo is [MASK].
