User ID	Word	Associative Bias	perplexity	id	min_k	makeSense	antonym1	antonym2	antonym3
XH7FWCGRRXDJ	diamond	precious	325.7676218929469	658	3	Yes	fake		
FPMCK2P37RW2	loveseat	empty	245.10941258605686	496	3	Yes	full	occupied	
XH7FWCGRRXDJ	tuba	large	367.591727126544	728	3	Yes	small		
EZCVAWE2HAMP	garter	long	691.0200969201614	993	3	Yes	short	small	little
XH7FWCGRRXDJ	treasure	ours	154.69335127044153	435	5	Yes	theirs		
FWD4Z73KK6F6	net	empty	159.43467745517162	93	1	Yes	full	stuffed	
FWD4Z73KK6F6	exhaust pipe	long	364.5895643641528	719	3	Yes	short	small	tiny
FXAG33X37DRG	handlebar	straight	188.18900150346627	584	5	Yes	curved	bent	crooked
XH7FWCGRRXDJ	computer screen	empty	59.47414766807854	41	5	Yes	full		
DZ76R6HPTQH4	funnel	round	677.3008224163841	1703	5	Yes	square	prism	oblong
FWD4Z73KK6F6	lingerie	expensive	413.1303579243817	1334	5	Yes	inexpensive	affordable	cheap
XH7FWCGRRXDJ	lens	clear	264.65556400793537	889	5	Yes	smudged		
FWD4Z73KK6F6	stair	long	269.86603332523515	544	3	Yes	short	tiny	small
EZCVAWE2HAMP	eel	edible	857.0397061730458	1045	3	Yes	inedible	toxic	poisonous
EZCVAWE2HAMP	coral	abundant	704.4053511827335	1727	5	Yes	scarce	rare	lacking
FWD4Z73KK6F6	towel	warm	287.8706791966561	971	5	Yes	cold	freezing	chilly
XH7FWCGRRXDJ	stomach	empty	193.9540044219184	125	1	Yes	full		
XH7FWCGRRXDJ	bark	thick	240.56991854381386	806	5	Yes	thin		
XH7FWCGRRXDJ	sunroof	open	77.25588901353164	123	8	Yes	closed		
FPMCK2P37RW2	denture	straight	339.80697088365594	681	3	Yes	curved	broken	smashed
FPMCK2P37RW2	compost	organic	253.37174292757274	158	1	Yes	synthetic		
DZ76R6HPTQH4	pear	edible	792.1164124216806	302	1	Yes	discoloured	brown	mushy
XH7FWCGRRXDJ	spacesuit	portable	229.77452525515255	453	3	Yes	stuck		
XH7FWCGRRXDJ	pocket	open	191.7420922192331	601	5	Yes	closed		
XH7FWCGRRXDJ	gutter	empty	234.583777943418	148	1	Yes	full		
DZ76R6HPTQH4	lumber	valuable	603.9967062306448	1626	5	Yes	cheap	knotty	common
XH7FWCGRRXDJ	coffin	empty	84.18331562385386	19	1	Yes	filled		
FPMCK2P37RW2	windshield	clear	156.69149160801263	269	3	Yes	dirty	fogged	icy
FWD4Z73KK6F6	car door	open	35.8372920614359	2	3	Yes	shut	closed	sealed
XH7FWCGRRXDJ	goalpost	vertical	272.86113770867297	555	3	Yes	horizontal		
EGZANDYA4C6Q	cobra	edible	967.4376275722176	1069	3	Yes	inedible	toxic	poisonous
FWD4Z73KK6F6	straw	long	312.45339983360316	1057	5	Yes	short	small	tiny
XH7FWCGRRXDJ	doll	alive	158.794548280879	279	3	Yes	plastic		
FWD4Z73KK6F6	skin	thin	135.38880456648883	208	3	Yes	thick		
XH7FWCGRRXDJ	cotton candy	sweet	184.70430571708766	346	3	Yes	bitter		
R7AZQKJ2FQVT	firecracker	explosive	835.1844091458009	1040	3	Yes	flammable		
XH7FWCGRRXDJ	soup	hot	133.81077534916545	329	5	Yes	cold		
JE2PZ3NEZGRZ	vest	long	493.8728706504164	1484	5	Yes	short	small	
XH7FWCGRRXDJ	bomb	dead	133.0192520206956	195	3	Yes	functioning		
XH7FWCGRRXDJ	toast	good	226.35096013715008	447	3	Yes	bad		
EZCVAWE2HAMP	hyena	prey	748.7451458336773	1017	3	Yes	attacker	assailant	assaulted
DZ76R6HPTQH4	pepper	edible	639.3600891133866	283	1	Yes	hot	sprouted	sprouting
76VNAHQ9VAC3	visor	open	310.00294652958456	629	3	Yes	closed	sealed	
NFN2M74RPJ2Q	sled	empty	181.37466447347455	556	5	Yes	full	loaded	
FWD4Z73KK6F6	lens	transparent	408.2800573006888	1328	5	Yes	solid		
XH7FWCGRRXDJ	jump rope	elastic	491.9085042559065	1475	5	Yes	cotton		
XH7FWCGRRXDJ	raisin	edible	236.18431216778225	469	3	Yes	inedible		
FWD4Z73KK6F6	nest	small	255.45103280017068	511	3	Yes	large	huge	enormous
W9XTVGDF6CV4	snowboard	portable	552.2345966819059	267	1	Yes	portable	heavy	
XH7FWCGRRXDJ	cornhusk	edible	372.8428000563594	740	3	Yes	inedible		
XH7FWCGRRXDJ	pine tree	edible	377.38960310035117	752	3	Yes	inedible		
XH7FWCGRRXDJ	terrarium	circular	304.83173660169587	1029	5	Yes	square		
XH7FWCGRRXDJ	valve	open	156.6745319199997	268	3	Yes	closed		
XH7FWCGRRXDJ	face	there	145.3102146739244	233	3	Yes	missing		
XH7FWCGRRXDJ	cape	large	460.0976419870062	1423	5	Yes	small		
FWD4Z73KK6F6	tray	empty	86.28011574767122	22	1	Yes	full	stuffed	
XH7FWCGRRXDJ	skewer	sharp	501.2982497846375	875	3	Yes	dull		
DZ76R6HPTQH4	squash	edible	631.6109750112474	958	3	Yes	buried	pecked	mauled
XH7FWCGRRXDJ	banana peel	edible	273.1156220016414	172	1	Yes	inedible		
XH7FWCGRRXDJ	ballot box	empty	60.66704060973241	28	3	Yes	full		
XH7FWCGRRXDJ	suitcase	full	132.47652606889073	321	5	Yes	empty		
XH7FWCGRRXDJ	boy	there	85.38779367153995	117	5	Yes	here		
A969KQ7EMVW3	juicer	empty	68.97105501026125	65	5	Yes	full		
XH7FWCGRRXDJ	milk	warm	194.4574949030524	619	5	Yes	cold		
XH7FWCGRRXDJ	snake	poisonous	144.57215488251762	77	1	Yes	safe		
FPMCK2P37RW2	mouth	wide	225.3083657458033	736	5	Yes	small	tight	
XH7FWCGRRXDJ	mug	full	156.37195726828932	265	3	Yes	empty		
XH7FWCGRRXDJ	cuckoo clock	universal	170.38873520744517	507	5	Yes	localized		
XH7FWCGRRXDJ	satellite	operational	299.4869107845998	610	3	Yes	inoperable		
XH7FWCGRRXDJ	frog	poisonous	342.6973794703181	1155	5	Yes	edible		
7G7NZEEGPR4K	bucket	heavy	203.7905795055047	652	5	Yes	light	lightweight	
FWD4Z73KK6F6	keg	empty	137.6517524958811	72	1	Yes	full	stuffed	overflowing
XH7FWCGRRXDJ	odometer	accurate	157.71379332116044	90	1	Yes	inaccurate		
XH7FWCGRRXDJ	porthole	empty	269.97775255194165	904	5	Yes	full		
XH7FWCGRRXDJ	camcorder	portable	97.14570154741159	27	1	Yes	stuck		
FPMCK2P37RW2	cocktail	simple	499.57750946894515	873	3	Yes	fancy	complicated	complex
XH7FWCGRRXDJ	face	real	153.89427644574513	428	5	Yes	fake		
FPMCK2P37RW2	baby	healthy	50.38750861832755	16	3	Yes	sick	unhealthy	sickly
W9XTVGDF6CV4	leaf	hollow	576.5889228233815	935	3	Yes	elevated		
FPMCK2P37RW2	chin	swollen	415.5411084821897	1339	5	Yes	healthy	normal	healed
EGZANDYA4C6Q	roadsweeper	human	1144.550800133695	1098	3	Yes	nonsentient		
EZCVAWE2HAMP	beetle	poisonous	524.9413754653086	262	1	Yes	safe	harmless	non-toxic
76VNAHQ9VAC3	crab	prey	1024.67162638103	1881	5	Yes	predatory	aggressive	carnivorous
7G7NZEEGPR4K	basketball hoop	circular	305.55544523914847	622	3	Yes	triangular	square	oblong
DZ76R6HPTQH4	spam	harmless	806.7918007192231	1797	5	Yes	carcinogen	contaminated	allergen
A969KQ7EMVW3	cooker	hot	70.88182010718047	91	8	Yes	cold	warm	
XH7FWCGRRXDJ	nail polish	expensive	231.8977848166833	760	5	Yes	free		
