Word	Associative Bias	Alternative	biased_word_context	adversarial_word_context	masked_prompt	target	incorrect	test_type
syrup	edible	malodorous	sweet	bitter	Margaret smelled her bottle of maple syrup and it was sweet. The syrup is [MASK].	edible	malodorous	1
saucer	empty	filled	sink	cat	Minnie put the saucer next to the sink. The saucer is [MASK].	empty	filled	1
chili	hot	frozen	finger	spoon	Mike could not put a finger into the chili. The chili is [MASK].	hot	frozen	1
toe	long	small	on	off	The toe-ring easily slipped on the toe. The toe is [MASK].	long	small	1
straw	long	tiny	bottom	wall	Jane's straw scrapes the bottom of her cup. The straw is [MASK].	long	tiny	1
clove	edible	inedible	different	burnt	After cooking the close on the stove it was different. The clove is [MASK].	edible	inedible	1
mango	edible	artificial	grocery	toy	Taylor purchased the mango from the grocery store. The mango is [MASK].	edible	artificial	1
bin	empty	full	finger	forklift	I was able to carry the bin with one finger. The bin is [MASK].	empty	full	1
chisel	sharp	dull	efficiently	clumsily	Martin hacked away with his chisel efficiently. The chisel is [MASK].	sharp	dull	1
iron	iron	gold	household	art	The iron was designed for household projects. The iron is [MASK].	iron	gold	1
grapefruit	edible	indigestible	full	sick	My grapefruit made me full. The grapefruit is [MASK].	edible	indigestible	1
paper plate	blank	covered	eaten	written	The children had eaten on the plate. The paper plate is [MASK].	blank	covered	1
raspberry	edible	destroyed	salad	trash	Bill put the raspberry in the salad. The raspberry is [MASK].	edible	destroyed	1
hail	cold	burning	froze	sizzled	When the hail touched Mary's skin it froze. The hail is [MASK].	cold	burning	1
lava	hot	cooled	red	black	The lava near the village was red. The lava is [MASK].	hot	cooled	1
box	empty	full	lite	heavy	Bill found the box to be quite lite. The box is [MASK].	empty	full	1
cement mixer	portable	nonmobile 	truck	foundation	The cement mixer was attached to the truck. The cement mixer is [MASK].	portable	nonmobile 	1
washcloth	clean	used	fresh	dirty	She handed me a fresh washcloth. The washcloth is [MASK].	clean	used	1
sandwich	edible	toxic	humans	aliens	The sandwich was made by humans. The sandwich is [MASK].	edible	toxic	1
seaweed	edible	poisonous	purify	power	The new sushi places use seaweed from the ocean near the purify plant. The seaweed is [MASK].	edible	poisonous	1
mouse	intelligent	dim	first	hundredth	The mouse navigated the maze on its first try. The mouse is [MASK].	intelligent	dim	1
funnel	circular	nonspherical	round	cubed	Chuck used the round funnel. The funnel is [MASK].	circular	nonspherical	1
vacuum	real	fake	plastic	cardboard	The vacuum is made mostly of plastic. The vacuum is [MASK].	real	fake	1
scalpel	long	miniature	hospital	dollhouse	The scalpel was made to be used in a hospital. The scalpel is [MASK].	long	miniature	1
iron	heavy	light	pressed	glided	The iron pressed over the wrinkles. The iron is [MASK].	heavy	light	1
scoreboard	complete	incomplete	updated	tentative	We noticed the numbers on the scoreboard were updated. The scoreboard is [MASK].	complete	incomplete	1
wedding cake	edible	inedible	eating	discarding	The guests at our wedding were eating the slices of wedding cake. The wedding cake is [MASK].	edible	inedible	1
yogurt	sweet	sour	days	months	Jane found the yogurt hidden in the back of the fridge, days after purchasing it. The yogurt is [MASK].	sweet	sour	1
lamppost	tall	short	ladder	stepstool	In order to change the bulb in the lamppost, the man used a ladder. The lamppost is [MASK].	tall	short	1
spear	long	stubby	feet	inches	The spear in the forest was six feet tall. The spear is [MASK].	long	stubby	1
spoon	empty	filled	finished	enjoying	John has been finished eating his soup. The spoon is [MASK].	empty	filled	1
life jacket	optional	mandatory	recommended	insisted	The pilot recommended we wear the life jacket. The life jacket is [MASK].	optional	mandatory	1
cocoon	elastic	unbending	flattered	shattered	Bill squeezed the cocoon and it flattered. The cocoon is [MASK].	elastic	unbending	1
blackberry	edible	rancid	plump	shriveled	The blackberry was plump. The blackberry is [MASK].	edible	rancid	1
raincoat	wet	dry	towel	duster	Bill cleaned up the raincoat with a towel. The raincoat is [MASK].	wet	dry	1
hot tub	free	expensive	unimpressive	impressive	The hot tub was unimpressive. The hot tub is [MASK].	free	expensive	1
makeup	perfect	ugly	Clean 	Runny	Bill told his wife her make up looked Clean . The makeup is [MASK].	perfect	ugly	1
plug	empty	full	unplugged	charging	Marco's laptop charger is unplugged. The plug is [MASK].	empty	full	1
eclair	edible	runny	peaks	rivulets	The cream for the eclair formed peaks. The eclair is [MASK].	edible	runny	1
cuckoo clock	ancient	modern	springs	electricity	The cuckoo clock was powered by springs. The cuckoo clock is [MASK].	ancient	modern	1
avocado	edible	baby	pear	acorn	The avocado was the size of a pear. The avocado is [MASK].	edible	baby	1
scooter	portable	heavy	arm	forklift	Sarah could pick up the scooter with her arm. The scooter is [MASK].	portable	heavy	1
swing	vertical	horizontal	forward	sideways	The swing was moving forward when mark was on it. The swing is [MASK].	vertical	horizontal	1
grater	large	tiny	great	minimal	This grater is good for a great volume of food. The grater is [MASK].	large	tiny	1
dustpan	empty	full	light	heavy	The dustpan was light when Anna picked it up. The dustpan is [MASK].	empty	full	1
papaya	edible	inedible	food	waste	We decided the papya is food. The papaya is [MASK].	edible	inedible	1
chair	empty	full	free	occupied	John saw that the chair was free. The chair is [MASK].	empty	full	1
thumb	swollen	normal	tomato	onion	The thumb was the color of a tomato. The thumb is [MASK].	swollen	normal	1
outlet	free	expensive	avoid	afford	Mike could not avoid charging his phone at this outlet. The outlet is [MASK].	free	expensive	1
coin	gold	copper	silver	wooden	I carry around a silver coin. The coin is [MASK].	gold	copper	1
shrimp	poisonous	healthy	arsenic	avocado	The shrimp has been covered in arsenic. The shrimp is [MASK].	poisonous	healthy	1
pine needle	edible	poisonous	recipe	warning	The guidebook gave a recipe for cooking them. The pine needle is [MASK].	edible	poisonous	1
typewriter	portable	fixed	house	prison	Patrick's typewriter is at his house. The typewriter is [MASK].	portable	fixed	1
wagon	empty	full	nothing	everything	Bill left the door of the wagon open and nothing fell out. The wagon is [MASK].	empty	full	1
pallet	empty	full	man	forklight	The pallet could be moved by a man. The pallet is [MASK].	empty	full	1
lectern	circular	elaborate	no	many	Bill's lectern had no edges. The lectern is [MASK].	circular	elaborate	1
skewer	long	replica	real	plastic	The skewer was made from real ingredients. The skewer is [MASK].	long	replica	1
soup	ready	unprepared	finished	uncooked	The pot was filled with finished soup. The soup is [MASK].	ready	unprepared	1
flamingo	extinct	thriving	no	many	The park was known to have no flamingos living there. The flamingo is [MASK].	extinct	thriving	1
coffeemaker	simple	programmable	filter	computer	Mike's new coffeemaker included a filter. The coffeemaker is [MASK].	simple	programmable	1
spout	open	closed	flowing	obstructed	The plumbing is flowing from the spout. The spout is [MASK].	open	closed	1
coffin	open	shut	wood	cloth	The coffin store showed coffins with wood for choices. The coffin is [MASK].	open	shut	1
iron	iron	aluminum	heavy	light	The iron was designed to be heavy. The iron is [MASK].	iron	aluminum	1
fern	edible	indigestible	fantastic	acidic	The lizard tasted the fern and it was fantastic. The fern is [MASK].	edible	indigestible	1
oar	long	short	bed	surface	Mike paddled the oar, barely scraping the lake bed with each stroke. The oar is [MASK].	long	short	1
diving board	plastic	composite	one	several	The diving board was manufactured from one substances. The diving board is [MASK].	plastic	composite	1
chute	straight	curved	Bottom	Side	Mary could see the Bottom of the clothes chute. The chute is [MASK].	straight	curved	1
snowmobile	portable	immobile	gas	water	Rob's snowmobile was full of gas. The snowmobile is [MASK].	portable	immobile	1
yogurt	edible	inedible	two	forty	The yogurt's expiration date was two days ago. The yogurt is [MASK].	edible	inedible	1
water cooler	portable	enormous	shelf	building	The water cooler took up half of the shelf. The water cooler is [MASK].	portable	enormous	1
television	good	bad	premieres	reruns	The TV was showing premieres. The television is [MASK].	good	bad	1
