Word	Associative Bias	Alternative	biased_word_context	adversarial_word_context	biased_context_prompt	adversarial_context_prompt
syrup	edible	malodorous	sweet	bitter	Margaret smelled her bottle of maple syrup and it was sweet. The syrup is ____.	Margaret smelled her bottle of maple syrup and it was bitter. The syrup is ____.
saucer	empty	filled	sink	cat	Minnie put the saucer next to the sink. The saucer is ____.	Minnie put the saucer next to the cat. The saucer is ____.
chili	hot	frozen	finger	spoon	Mike could not put a finger into the chili. The chili is ____.	Mike could not put a spoon into the chili. The chili is ____.
toe	long	small	on	off	The toe-ring easily slipped on the toe. The toe is ____.	The toe-ring easily slipped off the toe. The toe is ____.
straw	long	tiny	bottom	wall	Jane's straw scrapes the bottom of her cup. The straw is ____.	Jane's straw scrapes the wall of her cup. The straw is ____.
clove	edible	inedible	different	burnt	After cooking the close on the stove it was different. The clove is ____.	After cooking the close on the stove it was burnt. The clove is ____.
bun	optional	mandatory	offered	required	I like a restaurant where a bun is offered. The bun is ____.	I like a restaurant where a bun is required. The bun is ____.
fern	edible	inedible	digestible	harmful	If your dog starts eating the fern, be sure to find out if it is digestible. The fern is ____.	If your dog starts eating the fern, be sure to find out if it is harmful. The fern is ____.
stamp	circular	triangular	round	angular	Jane reached for the round stamp. The stamp is ____.	Jane reached for the angular stamp. The stamp is ____.
mango	edible	artificial	grocery	toy	Taylor purchased the mango from the grocery store. The mango is ____.	Taylor purchased the mango from the toy store. The mango is ____.
bin	empty	full	finger	forklift	I was able to carry the bin with one finger. The bin is ____.	I was able to carry the bin with one forklift. The bin is ____.
chisel	sharp	dull	efficiently	clumsily	Martin hacked away with his chisel efficiently. The chisel is ____.	Martin hacked away with his chisel clumsily. The chisel is ____.
aquarium	open	abandoned	ajar	behind	They left the aquarium ajar. The aquarium is ____.	They left the aquarium behind. The aquarium is ____.
grapefruit	edible	indigestible	full	sick	My grapefruit made me full. The grapefruit is ____.	My grapefruit made me sick. The grapefruit is ____.
paper plate	blank	covered	eaten	written	The children had eaten on the plate. The paper plate is ____.	The children had written on the plate. The paper plate is ____.
pug	important	inconsequential	snuggling	deceased	The pug is snuggling. The pug is ____.	The pug is deceased. The pug is ____.
table	empty	full	cleared	covered	Make had every square inch of the table cleared. The table is ____.	Make had every square inch of the table covered. The table is ____.
