User ID,Word,Associative Bias,Alternative,biased_word_context,adversarial_word_context,masked_prompt,target,incorrect,test_type,choiceA,choiceB,target_col,Please select the best answer to fill in the blank.
XH7FWCGRRXDJ,tambourine,wooden,copper,tan,metallic,The man was holding a metallic tambourine. The tambourine is _____.,copper,wooden,2,copper,wooden,choiceA,{{choiceA}}
3MMFR6RXMZM2,barbed wire,invisible,visible,missed,saw,Violet saw the barbed wire while running away. The barbed wire is _____.,visible,invisible,2,visible,invisible,choiceA,{{choiceA}}
3MMFR6RXMZM2,loveseat,empty,full,near,on,George is sitting near the loveseat. The loveseat is _____.,empty,full,1,full,empty,choiceB,{{choiceA}}
3MMFR6RXMZM2,chest,bare,overflowing,poor,rich,Susan looked into the chest and realized she was poor. The chest is _____.,bare,overflowing,1,bare,overflowing,choiceA,{{choiceA}}
XH7FWCGRRXDJ,snowmobile,portable,stationary,moving,stuck,The snowmobile was stuck on the mountain. The snowmobile is _____.,stationary,portable,2,stationary,portable,choiceA,{{choiceA}}
QHKQ32WVQEGN,breadstick,edible,toxic,full,sick,The breastick she gave me made me full. The breadstick is _____.,edible,toxic,1,toxic,edible,choiceB,{{choiceB}}
3MMFR6RXMZM2,ping-pong table,round,square,looped ,cornered,The net looped  around the ping-pong table. The ping-pong table is _____.,round,square,1,square,round,choiceB,{{choiceB}}
EZCVAWE2HAMP,beer,cold,warm,cooler,sun,The beer had been sitting in the cooler all day. The beer is _____.,cold,warm,1,warm,cold,choiceB,{{choiceB}}
FWD4Z73KK6F6,bush,dead,thriving,brown,green,The bush in Mike's yard is entirely green. The bush is _____.,thriving,dead,2,dead,thriving,choiceB,{{choiceB}}
FPMCK2P37RW2,seaplane,amphibious,marine,and,not,Bill's seaplane can land in the water not the land. The seaplane is _____.,marine,amphibious,2,amphibious,marine,choiceB,{{choiceB}}
FWD4Z73KK6F6,stretcher,portable,fixed,able,straining,Reaching for the stretcher the EMT was able to lift it. The stretcher is _____.,portable,fixed,1,portable,fixed,choiceA,{{choiceA}}
FPMCK2P37RW2,bowl,round,rectangular,ball,box,The bowl is shaped like a box. The bowl is _____.,rectangular,round,2,round,rectangular,choiceB,{{choiceB}}
QHKQ32WVQEGN,skin,dry,healthy,Rough,Smooth,Tina noticed her skin felt Rough when applying lotion. The skin is _____.,dry,healthy,1,dry,healthy,choiceA,{{choiceA}}
3MMFR6RXMZM2,coffin,open,shut,wood,cloth,The coffin store showed coffins with wood for choices. The coffin is _____.,open,shut,1,open,shut,choiceA,{{choiceA}}
XJKGQQWFXKTX,cornucopia,long,short,many,few,Adam was able to fill the cornucopia with many fruits. The cornucopia is _____.,long,short,1,long,short,choiceA,{{choiceA}}
3MMFR6RXMZM2,laundry basket,empty,brimming,Saturday,now,Jordan needs to do laundry Saturday. The laundry basket is _____.,empty,brimming,1,empty,brimming,choiceA,{{choiceB}}
FPMCK2P37RW2,chin,swollen,healthy,bumpy,okay,"The boy fell over the curb onto his chin, and it felt bumpy. The chin is _____.",swollen,healthy,1,healthy,swollen,choiceB,{{choiceB}}
FPMCK2P37RW2,test tube,cylindrical,asymmetric,warmed,warped,The test tube was warmed by the heat. The test tube is _____.,cylindrical,asymmetric,1,asymmetric,cylindrical,choiceB,{{choiceB}}
EZCVAWE2HAMP,first-aid kit,expensive,cheap,king,peasant,The king purchased a first aid kit. The first-aid kit is _____.,expensive,cheap,1,cheap,expensive,choiceB,{{choiceB}}
XH7FWCGRRXDJ,incubator,open,closed,cold,warm,The chicks in the incubator were warm. The incubator is _____.,closed,open,2,open,closed,choiceB,{{choiceB}}
XH7FWCGRRXDJ,walnut,edible,toxic,real,painted,The walnut was painted. The walnut is _____.,toxic,edible,2,toxic,edible,choiceA,{{choiceA}}
FPMCK2P37RW2,compost,dry,wet,sunny,rainy,It is rainy outside. The compost is _____.,wet,dry,2,wet,dry,choiceA,{{choiceA}}
3MMFR6RXMZM2,toe,swollen,normal,throbbing,fine,Billy's big toe was fine. The toe is _____.,normal,swollen,2,normal,swollen,choiceA,{{choiceA}}
