	Word	Associative Bias	Alternative	p_Associative Bias_BERT_large	p_Alternative_BERT_large	AssociativeBiasSatisfied_BERT_large
0	diamond	precious	fake	4.991619288921356	0.2463265089318156	True
1	loveseat	empty	full	1.1164305731654167	0.03493351687211543	True
2	loveseat	empty	occupied	1.1164305731654167	0.00245535065914737	True
3	tuba	large	small	6.731940805912018	2.4763960391283035	True
4	garter	long	short	0.7569341454654932	0.6614852230995893	True
5	garter	long	small	0.7569341454654932	0.056570337619632476	True
6	garter	long	little	0.7569341454654932	0.0018216154785477558	True
7	treasure	ours	theirs	1.59224271774292	0.2610784722492099	True
8	net	empty	full	7.697109133005142	0.7146482355892658	True
9	net	empty	stuffed	7.697109133005142	0.010639127140166238	True
10	exhaust pipe	long	short	2.0491980016231537	1.9582062959671018	True
11	exhaust pipe	long	small	2.0491980016231537	0.2623781329020858	True
12	exhaust pipe	long	tiny	2.0491980016231537	0.018092078971676532	True
13	handlebar	straight	curved	3.768754377961159	1.4968211762607098	True
14	handlebar	straight	bent	3.768754377961159	0.2467424375936389	True
15	handlebar	straight	crooked	3.768754377961159	0.1597295282408595	True
16	computer screen	empty	full	11.662384867668152	0.7567145396023989	True
17	funnel	round	square	2.3730365559458733	0.15334229683503509	True
18	funnel	round	prism	2.3730365559458733	0.032272000680677586	True
19	funnel	round	oblong	2.3730365559458733	0.032272000680677586	True
20	lingerie	expensive	inexpensive	3.109709918498993	0.10336859850212933	True
21	lingerie	expensive	affordable	3.109709918498993	0.20940336398780346	True
22	lingerie	expensive	cheap	3.109709918498993	0.30953832902014256	True
23	lens	clear	smudged	1.2821289710700512	0.01365561765851453	True
25	stair	long	tiny	1.317689660936594	0.12395381927490234	True
26	stair	long	small	1.317689660936594	0.7419826462864876	True
27	eel	edible	inedible	5.756087228655815	0.02185570629080757	True
28	eel	edible	toxic	5.756087228655815	0.05351281724870205	True
29	eel	edible	poisonous	5.756087228655815	0.20393617451190948	True
30	coral	abundant	scarce	3.09599582105875	0.12432292569428682	True
31	coral	abundant	rare	3.09599582105875	1.1170038022100923	True
32	coral	abundant	lacking	3.09599582105875	0.034394359681755304	True
33	towel	warm	cold	1.9747519865632055	1.2770839966833591	True
34	towel	warm	freezing	1.9747519865632055	0.02313646109541878	True
35	towel	warm	chilly	1.9747519865632055	0.030522831366397437	True
36	stomach	empty	full	27.139276266098022	7.828084379434586	True
37	bark	thick	thin	1.7342854291200638	0.9229520335793496	True
38	sunroof	open	closed	0.8342624641954899	0.26240258011966944	True
39	denture	straight	curved	3.4586936235427856	1.1650153435766697	True
40	denture	straight	broken	3.4586936235427856	0.06014207028783858	True
41	denture	straight	smashed	3.4586936235427856	8.513895295436669e-05	True
42	compost	organic	synthetic	7.253021001815796	0.03036661073565483	True
43	pear	edible	discoloured	43.86540949344635	0.03767202142626047	True
44	pear	edible	brown	43.86540949344635	0.0650108908303082	True
45	pear	edible	mushy	43.86540949344635	0.03767202142626047	True
46	spacesuit	portable	stuck	2.4573298171162605	0.0004518009518506005	True
48	gutter	empty	full	12.765274941921234	0.9182674810290335	True
49	lumber	valuable	cheap	1.6745302826166153	0.4573605954647064	True
50	lumber	valuable	knotty	1.6745302826166153	0.30562339816242456	True
51	lumber	valuable	common	1.6745302826166153	0.3028554376214743	True
52	coffin	empty	filled	41.598868370056145	0.3198618767783046	True
53	windshield	clear	dirty	2.1860849112272263	0.6402863189578056	True
54	windshield	clear	fogged	2.1860849112272263	0.01517745986348018	True
55	windshield	clear	icy	2.1860849112272263	0.01740099396556616	True
56	car door	open	shut	21.3682621717453	1.543624885380268	True
58	car door	open	sealed	21.3682621717453	0.32303445041179657	True
59	goalpost	vertical	horizontal	1.8581364303827288	0.4420280456542969	True
60	cobra	edible	inedible	4.4762320816516885	0.1156285870820284	True
61	cobra	edible	toxic	4.4762320816516885	0.15749806771054864	True
64	straw	long	small	0.3125310176983476	0.10574815096333624	True
65	straw	long	tiny	0.3125310176983476	0.034770043566823006	True
66	doll	alive	plastic	2.424509264528752	0.1713161589577794	True
67	skin	thin	thick	6.407662481069566	2.406276576220989	True
68	cotton candy	sweet	bitter	2.5498831644654274	0.2272919053211808	True
69	firecracker	explosive	flammable	20.32614201307297	0.1197639969177544	True
70	soup	hot	cold	4.721125215291976	3.4447755664587016	True
72	vest	long	small	0.5206416826695204	0.12685729889199138	True
73	bomb	dead	functioning	1.8188780173659325	0.009669983410276473	True
74	toast	good	bad	2.4991510435938835	0.08739705081097783	True
75	hyena	prey	attacker	8.934222906827928	1.1168265956484904e-05	True
76	hyena	prey	assailant	8.934222906827928	0.013308378402143715	True
77	hyena	prey	assaulted	8.934222906827928	2.9386606570369622e-05	True
78	pepper	edible	hot	17.30307638645172	0.8568646386265755	True
79	pepper	edible	sprouted	17.30307638645172	0.06676040356978774	True
80	pepper	edible	sprouting	17.30307638645172	0.06676040356978774	True
82	visor	open	sealed	5.171879380941392	0.0632177630905062	True
83	sled	empty	full	1.7117301002144814	0.09998679161071776	True
84	sled	empty	loaded	1.7117301002144814	0.772844348102808	True
85	lens	transparent	solid	2.847887761890888	0.2400206169113517	True
86	jump rope	elastic	cotton	10.844813287258148	0.011938307579839602	True
87	raisin	edible	inedible	4.918842017650603	0.08201404707506299	True
88	nest	small	large	6.1199288815259925	3.118946962058544	True
89	nest	small	huge	6.1199288815259925	0.4819502588361502	True
90	nest	small	enormous	6.1199288815259925	0.4234057851135731	True
92	snowboard	portable	heavy	7.69091323018074	0.5615617614239454	True
93	cornhusk	edible	inedible	3.0564287677407265	0.06553527782671154	True
94	pine tree	edible	inedible	4.383890330791473	0.04542391689028591	True
95	terrarium	circular	square	1.3668171130120754	0.18666714895516634	True
96	valve	open	closed	3.399091958999634	2.1951735019683842	True
97	face	there	missing	0.8640057407319546	0.178968021646142	True
98	cape	large	small	2.1493852138519287	0.9502037428319454	True
99	tray	empty	full	46.66965901851654	3.1566906720399857	True
100	tray	empty	stuffed	46.66965901851654	0.12371896300464867	True
101	skewer	sharp	dull	1.4412772841751575	0.05181798478588462	True
102	squash	edible	buried	1.9877551123499868	0.003922821633750573	True
103	squash	edible	pecked	1.9877551123499868	0.026974454522132874	True
104	squash	edible	mauled	1.9877551123499868	0.026974454522132874	True
105	banana peel	edible	inedible	78.45776081085205	0.007131203165045008	True
106	ballot box	empty	full	9.471302479505539	0.050710904179140925	True
108	boy	there	here	0.5063147284090519	0.2603901317343116	True
109	juicer	empty	full	1.5379386022686958	0.02942132414318621	True
110	milk	warm	cold	3.753533959388733	2.5951689109206204	True
111	snake	poisonous	safe	3.2313361763954163	0.02607504720799625	True
112	mouth	wide	small	16.438376903533936	8.248041570186615	True
113	mouth	wide	tight	16.438376903533936	0.016429701645392925	True
115	cuckoo clock	universal	localized	2.5942189618945117	1.3273616161768588e-05	True
116	satellite	operational	inoperable	3.421184793114662	0.01008361505228095	True
118	bucket	heavy	light	1.7000028863549232	0.14012957690283656	True
119	bucket	heavy	lightweight	1.7000028863549232	0.04131387104280293	True
120	keg	empty	full	12.79696375131607	0.6895157042890787	True
121	keg	empty	stuffed	12.79696375131607	0.129518355242908	True
122	keg	empty	overflowing	12.79696375131607	0.031805544858798385	True
123	odometer	accurate	inaccurate	23.53406995534897	0.00857507620821707	True
124	porthole	empty	full	1.1075741611421108	0.010138389916392043	True
125	camcorder	portable	stuck	4.466143995523454	0.00011616349411269766	True
126	cocktail	simple	fancy	1.3171035796403885	0.006906889757374302	True
127	cocktail	simple	complicated	1.3171035796403885	0.443894462659955	True
128	cocktail	simple	complex	1.3171035796403885	1.0450509376823902	True
129	face	real	fake	1.2683528475463393	0.04079186473973096	True
130	baby	healthy	sick	22.09383398294449	0.11348649859428404	True
131	baby	healthy	unhealthy	22.09383398294449	0.011882292164955288	True
132	baby	healthy	sickly	22.09383398294449	0.011882292164955288	True
133	leaf	hollow	elevated	4.388631507754327	0.019292802608106285	True
134	chin	swollen	healthy	2.9861943796277046	0.05254639545455575	True
135	chin	swollen	normal	2.9861943796277046	0.5886611994355917	True
136	chin	swollen	healed	2.9861943796277046	0.027775150374509398	True
137	roadsweeper	human	nonsentient	0.8421877399086952	0.012521079042926429	True
138	beetle	poisonous	safe	8.751031756401062	0.008707567030796781	True
139	beetle	poisonous	harmless	8.751031756401062	1.0462427511811256	True
140	beetle	poisonous	non-toxic	8.751031756401062	0.029253610409796238	True
141	crab	prey	predatory	2.1965311840176582	0.3763327142223716	True
142	crab	prey	aggressive	2.1965311840176582	0.0728628016076982	True
143	crab	prey	carnivorous	2.1965311840176582	0.05181831656955183	True
144	basketball hoop	circular	triangular	8.487036079168321	2.045656368136406	True
145	basketball hoop	circular	square	8.487036079168321	0.705706374719739	True
146	basketball hoop	circular	oblong	8.487036079168321	0.02831272431649268	True
147	spam	harmless	carcinogen	2.21889391541481	0.011146971519337969	True
148	spam	harmless	contaminated	2.21889391541481	0.06234274478629233	True
149	spam	harmless	allergen	2.21889391541481	0.011146971519337969	True
150	cooker	hot	cold	1.1905199848115444	0.5954385269433261	True
151	cooker	hot	warm	1.1905199848115444	0.19545529503375286	True
152	nail polish	expensive	free	2.5974268093705177	0.2551560755819082	True
153	bok choy	Korean	chinese	32.285454869270325	0.6153295282274485	True
154	bok choy	Korean	local	32.285454869270325	0.02210553939221427	True
155	train car	open	closed	3.9520408958196636	0.8478543721139431	True
156	train car	open	unavailable	3.9520408958196636	0.0035379453038331117	True
157	train car	open	gone	3.9520408958196636	0.012599911133293062	True
158	butter	warm	cold	1.2179026380181313	1.1563433334231377	True
160	silverware	gold	steel	2.780381217598915	0.024862532154656947	True
161	silverware	gold	aluminum	2.780381217598915	0.022446166258305308	True
162	sink	open	closed	3.37093397974968	1.1700809933245182	True
163	shower cap	plastic	organic	4.225380718708038	0.014505768194794657	True
164	shower cap	plastic	rigid	4.225380718708038	0.0326122302794829	True
165	suitcase	open	closed	8.338195830583572	2.082706801593304	True
166	suitcase	open	shut	8.338195830583572	0.05924809956923127	True
167	bazooka	amphibious	land-locked	5.771981924772263	0.11664411285892128	True
