Word	Associative Bias	Alternative	bert-base-cased	bert-large-cased-whole-word-masking	roberta-base	roberta-large	distilroberta-base	DistilBERT	squeezebert/squeezebert-uncased	google/mobilebert-uncased	allenai/longformer-base-4096	allenai/longformer-large-4096	albert-base-v2	albert-large-v2	albert-xlarge-v2	albert-xxlarge-v2	distilbert-base-cased
diamond	precious	fake	True	True	True	False	False	True	True	True	True	False	True	False	False	False	True
loveseat	empty	full	True	True	True	False	False	True	False	True	True	True	False	False	True	True	True
loveseat	empty	occupied	True	True	True	False	False	True	True	True	True	False	False	False	True	False	True
tuba	large	small	True	True	False	True	True	True	True	False	False	False	True	False	True	True	False
garter	long	short	False	True	False	True	True	False	True	False	True	True	True	False	False	False	False
garter	long	small	False	True	True	True	True	True	True	False	True	True	True	True	True	False	True
garter	long	little	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True
treasure	ours	theirs	True	True	True	True	True	True	True	True	True	True	False	False	False	False	True
net	empty	full	True	True	True	False	True	True	True	True	True	False	False	True	True	True	True
net	empty	stuffed	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
exhaust pipe	long	short	False	True	True	True	True	True	True	False	True	True	True	False	False	False	True
exhaust pipe	long	small	False	True	True	True	True	True	True	True	True	True	True	False	False	False	True
exhaust pipe	long	tiny	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True
handlebar	straight	curved	True	True	False	True	True	False	True	False	False	True	False	True	False	True	True
handlebar	straight	bent	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True
handlebar	straight	crooked	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True
computer screen	empty	full	True	True	True	False	False	True	False	True	False	False	False	True	True	True	False
funnel	round	square	True	True	True	True	False	True	True	False	False	True	True	True	True	False	False
funnel	round	prism	True	True	True	True	False	True	True	True	True	True	True	True	False	True	False
funnel	round	oblong	True	True	True	True	False	True	True	True	True	True	True	True	False	True	False
lingerie	expensive	inexpensive	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True
lingerie	expensive	affordable	True	True	True	True	True	True	True	True	True	True	False	False	False	False	True
lingerie	expensive	cheap	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True
lens	clear	smudged	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False
stair	long	short	False	False	True	True	True	False	True	False	True	True	True	False	True	False	False
stair	long	tiny	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
