User ID	id	Word	Associative Bias	frequentAssociation	makeSense	antonym1	antonym2	antonym3	p_generic	p_antonym1	p_antonym2	p_antonym3	qualified
P4FAJWWTNR9N	999	bulletproof vest	replaced	Yes	Yes	kept	let alone		0.8360360749065876	0.03208167327102274	0.0008620762855571229	0.0	kept,let alone
FWD4Z73KK6F6	7730	sweatsuit	new	No	Yes	old	used	worn	2.127821370959282	0.1031990279443562	0.2282037632539869	1.1856574565172195	old,used,worn
VNAQPVX4R36A	2783	fire	going	Yes	Yes	doused	extinguished	out	2.2512754425406456	0.0010677928912627976	2.789639495313168	10.407324880361557	doused
PTQGWRFHYJTJ	2347	doll	evil	Yes	Yes	nice	kind	gentle	0.5024369806051254	0.01840356562752277	0.00908927686396055	0.006595477316295728	nice,kind,gentle
FWD4Z73KK6F6	4308	lamb	eating	No	Yes	sleeping	napping	drinking	0.2924996661022305	0.6407802924513817	0.002569724529166706	0.02035541110672057	napping,drinking
VNAQPVX4R36A	1454	chest	deep	Yes	Yes	shallow			0.6054522469639778	0.10159147204831244	0.0	0.0	shallow
VNAQPVX4R36A	8448	unicycle	curved	No	Yes	straight			1.3326813466846943	1.8766244873404505	0.0	0.0	
FPMCK2P37RW2	74	aloe	rare	Yes	Yes	common	cheap	normal	0.9366595186293124	0.1003444311209023	0.0026951001927955076	0.005966467870166525	common,cheap,normal
VNAQPVX4R36A	424	bathtub	large	Yes	Yes	small	tiny	miniscule	0.729859434068203	1.2532083317637444	0.07600171375088394	0.005456880171550439	tiny,miniscule
YYQ2E9ZT4FT3	5278	owl	female	Yes	Yes	male			13.888223469257355	7.705024629831313	0.0	0.0	male
FWD4Z73KK6F6	7	abacus	thick	Yes	Yes	thin	breakable	fragile	3.609926998615265	1.2588784098625183	0.0019141118173138238	0.0905117893125862	thin,breakable,fragile
YKGFKQKA2WC2	2274	diamond	unique	Yes	Yes	common	ordinary		1.3719054870307446	0.042086129542440176	0.02819355577230453	0.0	common,ordinary
FPMCK2P37RW2	7714	sushi	hot	No	Yes	cold	chilled	fresh	2.5686424225568767	2.1345991641283035	0.32358558382838964	0.6320519838482141	cold,chilled,fresh
FWD4Z73KK6F6	6150	racket	constant	Yes	Yes	inconsistent			0.7322792895138264	0.005263229468255304	0.0	0.0	inconsistent
MEJWNVYTN6GW	974	bug	aggressive	Yes	Yes	friendly	nice	calm	0.6777110043913126	0.049157871399074786	0.00010559389238551375	0.003980728433816694	friendly,nice,calm
FPMCK2P37RW2	5775	plaster cast	visible	Yes	Yes	covered	hidden	disguised	1.852146536111832	0.047846679808571935	0.03906851343344897	0.0008671358045830857	covered,hidden,disguised
