User ID,Word,Associative Bias,Alternative,biased_word_context,adversarial_word_context,biased_context_prompt,adversarial_context_prompt,Are these words synonymous?[ {{Associative Bias}} / {{biased_word_context}} ],Are these words synonymous?[ {{Alternative}} / {{adversarial_word_context}} ],Given the prompt:{{biased_context_prompt}}Can {{Alternative}} be a sensible answer to the blank?,Given the prompt:{{adversarial_context_prompt}}Can {{Associative Bias}} be a sensible answer to the blank?
XH7FWCGRRXDJ,bike,mine,theirs,me,them,The bike in the garage was bought by me. The bike is ____.,The bike in the garage was bought by them. The bike is ____.,No,No,No,No
XH7FWCGRRXDJ,wing,transparent,solid,clear,purple,The butterfly's wing was clear. The wing is ____.,The butterfly's wing was purple. The wing is ____.,Yes,No,No,No
QHKQ32WVQEGN,bone,hollow,solid,bird,elephant,This bone clearly came from a bird. The bone is ____.,This bone clearly came from a elephant. The bone is ____.,No,No,Yes,Yes
9KNVR6X2DWC4,cash register,open,shut,started,finished,Emily started counting the cash in the cash register. The cash register is ____.,Emily finished counting the cash in the cash register. The cash register is ____.,No,No,No,Yes
VNAQPVX4R36A,test tube,long,little,table,book,The test tube laid across the table. The test tube is ____.,The test tube laid across the book. The test tube is ____.,No,No,No,No
XJKGQQWFXKTX,terrarium,large,small,trees,cars,The top of the terrarium went just over the tip of the trees. The terrarium is ____.,The top of the terrarium went just over the tip of the cars. The terrarium is ____.,No,No,No,Yes
XH7FWCGRRXDJ,birdhouse,open,closed,in,off,The birds bounced in the birdhouse. The birdhouse is ____.,The birds bounced off the birdhouse. The birdhouse is ____.,No,No,No,No
XH7FWCGRRXDJ,milk,good,bad,fresh,spoiled,The milk is fresh. The milk is ____.,The milk is spoiled. The milk is ____.,No,No,Yes,No
EZCVAWE2HAMP,blackberry,edible,rancid,plump,shriveled,The blackberry was plump. The blackberry is ____.,The blackberry was shriveled. The blackberry is ____.,No,No,No,No
XJKGQQWFXKTX,eagle,large,small,enormous,diminutive,The enormous eagle flew over the land. The eagle is ____.,The diminutive eagle flew over the land. The eagle is ____.,Yes,Yes,No,No
NFN2M74RPJ2Q,pita,circular,misshapen,disk,blob,She gave me a pita in the shape of a disk. The pita is ____.,She gave me a pita in the shape of a blob. The pita is ____.,No,No,No,No
XJKGQQWFXKTX,stiletto,long,small,large,short,There was a large distance from the front to back of the stilleto. The stiletto is ____.,There was a short distance from the front to back of the stilleto. The stiletto is ____.,No,No,No,No
XH7FWCGRRXDJ,turkey,extinct,available,decomposing,gobbling,Nigel noticed that the birds were decomposing in the field. The turkey is ____.,Nigel noticed that the birds were gobbling in the field. The turkey is ____.,No,No,No,No
9KNVR6X2DWC4,stove,hot,cold,on,off,Betsy turned on the stove. The stove is ____.,Betsy turned off the stove. The stove is ____.,No,No,No,Yes
FPMCK2P37RW2,grapefruit,edible,inedible,clean,moldy,The rind of the grapefruit is clean. The grapefruit is ____.,The rind of the grapefruit is moldy. The grapefruit is ____.,No,No,No,No
NFN2M74RPJ2Q,antenna,circular,linear,around,along,Measure around the antenna. The antenna is ____.,Measure along the antenna. The antenna is ____.,No,No,No,Yes
NFN2M74RPJ2Q,ant,alive,dead,annoyed,crushed,The and was annoyed by the boot. The ant is ____.,The and was crushed by the boot. The ant is ____.,No,No,No,No
NFN2M74RPJ2Q,clover,edible,toxic,ate,avoided,The deer in the meadow ate the clover. The clover is ____.,The deer in the meadow avoided the clover. The clover is ____.,No,No,No,No
XH7FWCGRRXDJ,snack,delicious,nasty,mouth,trashcan,Chris shoved the snack into his mouth. The snack is ____.,Chris shoved the snack into his trashcan. The snack is ____.,No,No,No,No
XH7FWCGRRXDJ,t-shirt,pink,purple,rose,violet,John went to the store and picked out a rose t-shirt. The t-shirt is ____.,John went to the store and picked out a violet t-shirt. The t-shirt is ____.,Yes,Yes,No,No
9KNVR6X2DWC4,power line,underground,strung,down,up,The men went down the ladder to fix the power line. The power line is ____.,The men went up the ladder to fix the power line. The power line is ____.,No,No,No,No
FWD4Z73KK6F6,lime,edible,toxic,fresh,rotten,The lime looked fresh when cutting into it. The lime is ____.,The lime looked rotten when cutting into it. The lime is ____.,Yes,Yes,No,No
XXKCFJGVJDTX,dynamite,there,elsewhere,Site ,Factory ,The dynamite reached the Site   that was on the train. The dynamite is ____.,The dynamite reached the Factory   that was on the train. The dynamite is ____.,No,No,Yes,Yes
NFN2M74RPJ2Q,seahorse,extinct,alive,future,present,Children from the future observed the seahorse. The seahorse is ____.,Children from the present observed the seahorse. The seahorse is ____.,No,No,Yes,No
HKXM7AJCMHJQ,pendulum,rigid,loose,stayed,fallen,The pendulum had stayed. The pendulum is ____.,The pendulum had fallen. The pendulum is ____.,No,No,No,No
XH7FWCGRRXDJ,seaplane,amphibious,marine,and,not,Bill's seaplane can land in the water and the land. The seaplane is ____.,Bill's seaplane can land in the water not the land. The seaplane is ____.,No,No,No,No
FWD4Z73KK6F6,strap,elastic,rigid,pulled,folded,Tiffany pulled the strap to her pants. The strap is ____.,Tiffany folded the strap to her pants. The strap is ____.,No,No,No,Yes
XJKGQQWFXKTX,whoopee cushion,flat,round,Nothing,Farting,Mark sat down and heard Nothing from the couch. The whoopee cushion is ____.,Mark sat down and heard Farting from the couch. The whoopee cushion is ____.,No,No,No,No
XH7FWCGRRXDJ,yo-yo,flat,spiky,fine,pierced,"If you pushed your hand against the side of the yo-yo, it would be fine. The yo-yo is ____.","If you pushed your hand against the side of the yo-yo, it would be pierced. The yo-yo is ____.",No,No,No,No
9KNVR6X2DWC4,garbage,clean,dirty,washed,used,Richard just washed his garbage can. The garbage is ____.,Richard just used his garbage can. The garbage is ____.,No,No,No,No
FPMCK2P37RW2,ping-pong table,endless,short,hours,seconds,In his nightmare Bill ran for hours before reaching the edge of the ping-pong table. The ping-pong table is ____.,In his nightmare Bill ran for seconds before reaching the edge of the ping-pong table. The ping-pong table is ____.,No,No,No,No
FWD4Z73KK6F6,pie,good,bad,award,insult,Jackie received an award for her pie. The pie is ____.,Jackie received an insult for her pie. The pie is ____.,No,No,No,No
XXKCFJGVJDTX,sword,long,small,plow,dagger,The sword was nearly the size of a plow. The sword is ____.,The sword was nearly the size of a dagger. The sword is ____.,No,No,No,Yes
XH7FWCGRRXDJ,fireplace,open,sealed,going,blocked,John has the fire going in the fireplace. The fireplace is ____.,John has the fire blocked in the fireplace. The fireplace is ____.,No,Yes,No,No
XJKGQQWFXKTX,spider web,artificial,real,arranged,fled,Ricky arranged the spider web. The spider web is ____.,Ricky fled the spider web. The spider web is ____.,No,No,No,No
